ID,Nome Completo,CPF,RG,Telefone,Data Nascimento,Email,Status,Situação Pagamento,Valor Mensalidade,Data Vencimento,Plano,Data Cadastro,Observações,Endereço,CEP,Cidade,Estado,Contato Emergência,Telefone Emergência,Objetivo,Restrições Médicas,Como Conheceu,Profissão
1,João Silva Santos,123.456.789-01,12.345.678-9,"(11) 99999-1111",15/03/1985,joao.silva@email.com,Ativo,Pago,"R$ 89,90",05/01/2025,Mensal,02/01/2024,,Rua das Flores 123,01234-567,São Paulo,SP,Maria Silva,"(11) 88888-1111",Emagrecimento,Nenhuma,Indicação,Vendedor
2,Maria Oliveira Costa,987.654.321-02,98.765.432-1,"(11) 99999-2222",22/07/1990,maria.oliveira@email.com,Ativo,Pago,"R$ 89,90",10/01/2025,Mensal,05/01/2024,,Av. Principal 456,01234-568,São Paulo,SP,José Oliveira,"(11) 88888-2222",Fortalecimento,Nenhuma,Redes Sociais,Professora
3,Pedro Santos Lima,456.789.123-03,45.678.912-3,"(11) 99999-3333",10/12/1978,pedro.santos@email.com,Ativo,Pendente,"R$ 89,90",15/01/2025,Mensal,10/01/2024,,Rua do Campo 789,01234-569,São Paulo,SP,Ana Santos,"(11) 88888-3333",Hipertrofia,Problema no joelho,Passando na frente,Engenheiro
4,Ana Paula Ferreira,321.654.987-04,32.165.498-7,"(11) 99999-4444",05/05/1992,ana.paula@email.com,Ativo,Pago,"R$ 120,00",20/01/2025,Premium,15/01/2024,,Rua da Paz 321,01234-570,São Paulo,SP,Carlos Ferreira,"(11) 88888-4444",Condicionamento,Nenhuma,Indicação,Designer
5,Carlos Henrique Silva,789.123.456-05,78.912.345-6,"(11) 99999-5555",18/09/1980,carlos.henrique@email.com,Ativo,Vencido,"R$ 89,90",25/12/2024,Mensal,20/01/2024,Pagamento em atraso,Av. Central 654,01234-571,São Paulo,SP,Luiza Silva,"(11) 88888-5555",Emagrecimento,Diabetes,Site,Contador
6,Fernanda Costa Alves,654.987.321-06,65.498.732-1,"(11) 99999-6666",30/11/1987,fernanda.costa@email.com,Ativo,Pago,"R$ 89,90",30/01/2025,Mensal,25/01/2024,,Rua Nova 987,01234-572,São Paulo,SP,Roberto Alves,"(11) 88888-6666",Fortalecimento,Nenhuma,Indicação,Fisioterapeuta
7,Roberto Silva Machado,147.258.369-07,14.725.836-9,"(11) 99999-7777",12/02/1983,roberto.silva@email.com,Inativo,Cancelado,"R$ 89,90",,Mensal,01/02/2024,Cancelado por mudança,Rua Antiga 147,01234-573,São Paulo,SP,Carla Machado,"(11) 88888-7777",Condicionamento,Nenhuma,Placa,Advogado
8,Juliana Pereira Santos,258.369.147-08,25.836.914-7,"(11) 99999-8888",25/06/1995,juliana.pereira@email.com,Ativo,Pago,"R$ 120,00",05/02/2025,Premium,05/02/2024,,Av. Nova 258,01234-574,São Paulo,SP,Marcos Santos,"(11) 88888-8888",Hipertrofia,Nenhuma,Redes Sociais,Nutricionista
9,Marcos Antonio Lima,369.147.258-09,36.914.725-8,"(11) 99999-9999",08/04/1988,marcos.antonio@email.com,Ativo,Pendente,"R$ 89,90",10/02/2025,Mensal,10/02/2024,,Rua do Sol 369,01234-575,São Paulo,SP,Patricia Lima,"(11) 88888-9999",Emagrecimento,Pressão alta,Indicação,Empresário
10,Patricia Rodrigues Costa,741.852.963-10,74.185.296-3,"(11) 99999-0000",14/01/1991,patricia.rodrigues@email.com,Ativo,Pago,"R$ 89,90",15/02/2025,Mensal,15/02/2024,,Av. do Parque 741,01234-576,São Paulo,SP,Daniel Costa,"(11) 88888-0000",Condicionamento,Nenhuma,Passando na frente,Arquiteta
,,,,,,,,,,,,,,,,,,,,,,,,
📊 ESTATÍSTICAS AUTOMÁTICAS,,,,,,,,,,,,,,,,,,,,,,,,
Total de Alunos:,=COUNTA(A2:A1000)-COUNTBLANK(A2:A1000),,,,,,,,,,,,,,,,,,,,,,,
Alunos Ativos:,=COUNTIF(H:H,"Ativo"),,,,,,,,,,,,,,,,,,,,,,,
Alunos Inativos:,=COUNTIF(H:H,"Inativo"),,,,,,,,,,,,,,,,,,,,,,,
Total Pagos:,=COUNTIF(I:I,"Pago"),,,,,,,,,,,,,,,,,,,,,,,
Total Pendentes:,=COUNTIF(I:I,"Pendente"),,,,,,,,,,,,,,,,,,,,,,,
Total Vencidos:,=COUNTIF(I:I,"Vencido"),,,,,,,,,,,,,,,,,,,,,,,
Receita Mensal:,=SUMIF(I:I,"Pago",J:J),,,,,,,,,,,,,,,,,,,,,,,
Receita Pendente:,=SUMIF(I:I,"Pendente",J:J)+SUMIF(I:I,"Vencido",J:J),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
🎯 RELATÓRIOS POR PLANO,,,,,,,,,,,,,,,,,,,,,,,,
Plano,Quantidade,Receita,Média,,,,,,,,,,,,,,,,,,,,,
Mensal,=COUNTIF(L:L,"Mensal"),=SUMIFS(J:J,L:L,"Mensal",I:I,"Pago"),=AVERAGEIFS(J:J,L:L,"Mensal"),,,,,,,,,,,,,,,,,,,,,
Premium,=COUNTIF(L:L,"Premium"),=SUMIFS(J:J,L:L,"Premium",I:I,"Pago"),=AVERAGEIFS(J:J,L:L,"Premium"),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
📅 VENCIMENTOS PRÓXIMOS (7 DIAS),,,,,,,,,,,,,,,,,,,,,,,,
Nome,Vencimento,Valor,Telefone,,,,,,,,,,,,,,,,,,,,,
=FILTER(B:B,(K:K<=TODAY()+7)*(K:K>=TODAY())*(H:H="Ativo")),=FILTER(K:K,(K:K<=TODAY()+7)*(K:K>=TODAY())*(H:H="Ativo")),=FILTER(J:J,(K:K<=TODAY()+7)*(K:K>=TODAY())*(H:H="Ativo")),=FILTER(E:E,(K:K<=TODAY()+7)*(K:K>=TODAY())*(H:H="Ativo")),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
💰 INADIMPLENTES,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Dias em Atraso,Valor,Telefone,,,,,,,,,,,,,,,,,,,,,
=FILTER(B:B,(I:I="Vencido")+(I:I="Pendente")),=FILTER(TODAY()-K:K,(I:I="Vencido")+(I:I="Pendente")),=FILTER(J:J,(I:I="Vencido")+(I:I="Pendente")),=FILTER(E:E,(I:I="Vencido")+(I:I="Pendente")),,,,,,,,,,,,,,,,,,,,,
